BYRNE Honourable William Stephen (Bill),Rockhampton,ALP,"Shop 3, 7 Denham Street, Rockhampton Qld 4700", Ph: 07 4994 2100,
"Minister for Police, Fire and Emergency",,,"(PO Box 729, Rockhampton Qld 4700)",Fax: 07 4994 2109,
Services and Minister for Corrective,,,Email: rockhampton@parliament.qld.gov.au,,
Services,,,,,
,,,"Ministerial: Level 24, State Law Building, 50 Ann Street,", Ph: 07 3035 8300,
,,,Brisbane Qld 4000,,
,,,"(PO Box 15195, City East Qld 4002)",,
,,,Email: police@ministerial.qld.gov.au,,
,,,,,
COSTIGAN Jason Noel,Whitsunday,LNP,"Suite 2, Federation House, 20 Chapman Street, Proserpine",  Ph: 07 4845 3100,
Shadow Assistant Minister to the,,, Qld 4800, Fax: 07 4845 3109,
Opposition Leader for North Queensland,,,"(PO Box 251, Proserpine Qld 4800)",      1800 811 799,
,,,Email: whitsunday@parliament.qld.gov.au,(within elect. Only),
,,,,,
"CRAMP Sidney Ernest (Sid),",Gaven,LNP,"Units 4 & 5, 12 Ferry Street, Nerang Qld 4211", Ph: 07 5560 7100,
,,,Email: gaven@parliament.qld.gov.au,Fax: 07 5560 7109,
,,,,     1800 819 905,
,,,,(within elect. only),
,,,,,
CRANDON Michael John MBA MA,Coomera,LNP,"Shop 20, Hope Island Central, 340 Hope Island Road, Hope", Ph: 07 5560 8100,
,,,Island Qld 4212,Fax: 07 5560 8109,
,,,"(PO Box 80, Oxenford Qld 4210)",     1800 224 650,
,,,Email: coomera@parliament.qld.gov.au,(within elect. only),
,,,,,
CRAWFORD Craig Daryl,Barron River,ALP,"Unit 7, Stanton Place, Captain Cook Highway, Smithfield",  Ph: 07 4229 0100,
Dip in Ambulance and Paramedic Studies,,,Qld 4878, Fax: 07 4229 0109,
,,,Email: barron.river@parliament.qld.gov.au,      1800 811 825,
,,,,(within elect. Only),
,,,,,
CRIPPS Andrew Peter BEc BA(Hons),Hinchinbrook,LNP,"Hinchinbrook Central, 86-92 Herbert Street, Ingham Qld",  Ph: 07 4765 4700,
Shadow Minister for Natural Resources and,,,4850, Fax: 07 4765 4709,
"Mines, State Development and Northern",,,"(PO Box 1515, Ingham Qld 4850)",      1800 810 656,
Development,,,Email: hinchinbrook@parliament.qld.gov.au,(within elect. only),
,,,,,
D’ATH Honourable Yvette Maree [Mrs] LLB,Redcliffe,ALP,"Suite 35, Level 1, Bluewater Square Shopping Centre, Cnr", Ph: 07 3448 7100,
Grad.Dip LP,,,"Anzac Ave and Sutton Street, Redcliffe Qld 4020",Fax: 07 3448 7109,
Attorney-General and Minister for Justice,,,"(PO Box 936, Redcliffe Qld 4020)",     1800 815 506,
and Minister for Training and Skills,,,Email: redcliffe@parliament.qld.gov.au,(within elect. only),
,,,"Ministerial: Level 18, State Law Building, 50 Ann Street,", Ph: 07 3719 7400,
,,,Brisbane Qld 4000,,
,,,"(GPO Box 149, Brisbane Qld 4001)",,
,,,Email: attorney@ministerial.qld.gov.au,,
,,,trainingandskills@ministerial.qld.gov.au,,
,,,,,
DAVIS Tracy Ellen [Ms],Aspley,LNP,"Shop 8A, 46 Gayford Street, Aspley Qld 4034", Ph: 07 3554 7100,
"Shadow Minister for Communities, Child",,,"(PO Box 857, Aspley Qld 4034)",Fax: 07 3554 7109,
Safety and Disability Services,,,Email: aspley@parliament.qld.gov.au,,
,,,,,
de BRENNI Honourable Michael Christopher,Springwood,ALP,"Shops 4-6, Springwood Road Business Centre, 71-73", Ph: 07 3414 2110,
(Mick) BCom,,,"Springwood Road, Springwood Qld 4127",Fax: 07 3414 2119,
Minister for Housing and Public Works,,,Email: springwood@parliament.qld.gov.au,,
Chief Government Whip,,,,,
,,,"Ministerial: Level 7, 80 George Street, BRISBANE QLD", Ph: 07 3719 7270,
,,,4000,,
,,,"(GPO Box 2457, BRISBANE QLD 4001)",,
,,,Email: housingandpublicworks@ministerial.qld.gov.au,,
,,,,,
DICK Honourable Cameron Robert BA,Woodridge,ALP,"Unit 1, 80 Wembley Road, Woodridge Qld 4114", Ph: 07 3445 4100,
"BCom(Qld), LLB(Qld), LLM(Cantab), BA(Qld)",,,Email: woodridge@parliament.qld.gov.au,Fax: 07 3445 4109,
Minister for Health and Minister for,,,,,
Ambulance Services,,,"Ministerial: Level 19, Queensland Health Building, 147-", Ph: 07 3035 6100,
,,,"163 Charlotte Street, Brisbane Qld 4000",,
,,,"(GPO Box 48, Brisbane Qld 4001)",,
,,,Email: health@ministerial.qld.gov.au,,
,,,,,
DICKSON Steven Lance (Steve),Buderim,LNP,"Unit 4, 102 Burnett Street, Buderim Qld 4556", Ph: 07 5406 2100,
,,,"(PO Box 187, Buderim Qld 4556)",Fax: 07 5406 2109,
,,,Email: buderim@parliament.qld.gov.au,,
,,,,,
DONALDSON Honourable Leanne Elizabeth,Bundaberg,ALP,"WIN Tower, Cnr Quay & Barolin Streets, Bundaberg Qld", Ph: 07 4111 3100,
[Ms] BAppSc(AppPsych),,,4670,Fax: 07 4111 3109,
Minister for Agriculture and Fisheries,,,Email: bundaberg@parliament.qld.gov.au,,
,,,"Ministerial: Level 8, Primary Industries Building, 80 Ann",  Ph: 3719 7560,
,,,"Street, Brisbane Qld 4000",,
,,,"(GPO Box 46, Brisbane Qld 4001)",,
,,,Email: agriculture@ministerial.qld.gov.au,,
,,,,,
ELMES Glen Wayne,Noosa,LNP,"Suite CB05, Noosa Civic, 28 Eenie Creek Road, Noosaville", Ph: 07 5319 3100,
,,,Qld 4566,Fax: 07 5319 3109,
,,,"(PO Box 1849, Noosaville DC Qld 4566)",     1800 818 396,
,,,Email: noosa@parliament.qld.gov.au,(within elect. on,ly)
,,,,,
EMERSON Scott Anthony BEcon BA,Indooroopilly,LNP,"Suite 1, 49 Station Road, Indooroopilly Qld 4068", Ph: 07 3737 4100,
Shadow Minister for Transport,,,Email: indooroopilly@parliament.qld.gov.au,Fax: 07 3737 4109,
,,,,,
ENOCH Honourable Leeanne Margaret [Ms],Algester,ALP,"Shops 3 & 4, 137 Parkwood Drive, Heathwood Qld 4110", Ph: 07 3737 2110,
"Minister for Innovation, Science and the",,,Email: algester@parliament.qld.gov.au,Fax: 07 3737 2119,
Digital Economy and Minister for Small,,,,,
Business,,,"Ministerial: Level 26, 111 George Street, Brisbane Qld", Ph: 07 3719 7110,
,,,4000,,
,,,"(GPO Box 5078, Brisbane Qld 4001)",,
,,,Email: innovation@ministerial.qld.gov.au,,
,,,,,
FARMER Dianne Elizabeth (Di) [Ms] BSpThy,Bulimba,ALP,"Tenancy 2, 630 Wynnum Road, Morningside 4170", Ph: 07 3914 2100,
GradDipAdminSt,,,"(PO Box 524, Morningside Qld 4170)",Fax: 07 3914 2109,
,,,Email: bulimba@parliament.qld.gov.au,,
,,,,,
FENTIMAN Honourable Shannon Maree,Waterford,ALP,"Shops 13/14 Waterford Shopping Centre, 22 Loganlea", Ph: 07 3445 3100,
[Ms] LLB(Hons) GradDipLegPrac MLabRelLaw,,,"Road, Waterford West Qld 4133",Fax: 07 3445 3109,
"Minister for Communities, Women and",,,"(PO Box 273, Waterford Qld 4133)",,
"Youth, Minister for Child Safety and",,,Email: waterford@parliament.qld.gov.au,,
Minister for the Prevention of Domestic,,,,,
and Family Violence,,,"Ministerial: Level 13, 111 George Street, Brisbane Qld", Ph: 07 3719 7500,
,,,4000,,
,,,"(GPO Box 806, Brisbane Qld 4001)",,
,,,Email: communities@ministerial.qld.gov.au,,
,,,,,
FRECKLINGTON Deborah Kay (Deb) [Mrs],Nanango,LNP,"Shop 2/34A Alford Street, Kingaroy Qld 4610", Ph: 07 4190 7100,
BBus LLB,,,"(PO Box 1158, Kingaroy Qld 4610)",Fax: 07 4190 7109,
"Shadow Minister for Agriculture, Fisheries",,,Email: nanango@parliament.qld.gov.au,     1800 816 261,
and Forestry,,,,(within elect. only),
,,,,,
FURNER Mark Lionel,Ferny Grove,ALP,"Shop 14, Ferny Grove Shopping Village, 51 McGinn Road,", Ph: 07 3535 7100,
,,,Ferny Grove Qld 4055,Fax: 07 3535 7109,
,,,"(PO Box 262, Ferny Hills DC Qld 4055)",,
,,,Email: ferny.grove@parliament.qld.gov.au,,
,,,,,
GILBERT Julieanne [Mrs] DipTeach BEd,Mackay,ALP,"1st Floor, Healthpoint Pharmacy Building, 65 Sydney", Ph: 07 4960 7100,
Deputy Government Whip,,,"Street, Mackay Qld 4740",Fax: 07 4960 7109,
,,,"(PO Box 1238, Mackay Qld 4740)",,
,,,Email: mackay@parliament.qld.gov.au,,
,,,,,
GORDON William John (Billy),Cook,IND,Cook Electorate Office:,  Ph: 07 4223 1100,
,,,"Shop 11, Post Office Centre, 94 Byrnes Street, Mareeba", Fax: 07 4223 1109,
,,,Qld 4880,      1800 816 264,
,,,Email: cook@parliament.qld.gov.au,(within elect. Only),
,,,Thursday Island Office:,,
,,,"Commonwealth Centre, Hastings Street, Thursday Island", Ph: 07 4069 1909,
,,,Qld 4875,Fax: 07 4069 1620,
,,,Email: cook.thursday.is@parliament.qld.gov.au,     1800 802 391,
,,,,(within elect. Only),
,,,,,
GRACE Honourable Grace [Ms] B.LabourStud,Brisbane Central,ALP,"Unit 2, Hill House, 541 Boundary Street (cnr Bradley", Ph: 07 3145 9100,
Minister for Employment and Industrial,,,"Street), Spring Hill Qld 4000",Fax: 07 3145 9109,
"Relations, Minister for Racing and Minister",,,Email: brisbane.central@parliament.qld.gov.au,,
for Multicultural Affairs,,,,,
,,,"Ministerial: Level 5, Executive Building, 100 George",    Ph: 3719 7140,
Deputy Speaker,,,,,
,,,"Street, Brisbane Qld 4000",,
,,,"(GPO Box 611, Brisbane Qld 4001)",,
,,,Email: employmentir@ministerial.qld.gov.au,,
,,,racing@ministerial.qld.gov.au,,
,,,multicultural@ministerial.qld.gov.au,,
,,,,,
HARPER Aaron David,Thuringowa,ALP,"Unit 8B, 48 Thuringowa Drive, Kirwan Qld 4817", Ph: 07 4766 3100,
,,,"(PO Box 393, Thuringowa Qld 4817)",Fax: 07 4766 3109,
,,,Email: thuringowa@parliament.qld.gov.au,     1800 817 230,
,,,,(within elect. only),
,,,,,
HART Michael James,Burleigh,LNP,"1 Paradise Avenue, Miami Qld 4220", Ph: 07 5560 4100,
,,,"(PO Box 2093, Burleigh Waters Qld 4220)",Fax: 07 5560 4109,
,,,Email: burleigh@parliament.qld.gov.au,,
,,,,,
HINCHLIFFE Honourable Stirling James BA,Sandgate,ALP,"Shop 2, Fifth Avenue, Sandgate Qld 4017", Ph: 07 3639 9100,
Minister for Transport and the,,,"(PO Box 496, Sandgate Qld 4017)",Fax: 07 3639 9109,
Commonwealth Games,,,Email: sandgate@parliament.qld.gov.au,,
Leader of the House,,,,,
,,,"Ministerial: Level 13 Mineral House, 41 George Street,",Ph: 07 3719 7240,
,,,Brisbane Qld 4000,Fax: n/a,
,,,"(GPO Box 2644, Brisbane Qld 4001)",,
,,,Email: transport@ministerial.qld.gov.au,,
,,,commonwealthgames@ministerial.qld.gov.au,,
,,,,,
"HOWARD, Jennifer Ruth [Ms] JP(Qual)",Ipswich,ALP,"125 Brisbane Road, Booval Qld 4304", Ph: 07 3447 2100,
Assistant Minister for Local Government,,,"(PO Box 52, Booval Qld 4304)",Fax: 07 3447 2109,
,,,Email: ipswich@parliament.qld.gov.au,,
,,,,,
JONES Honourable Kate Jennifer [Ms],Ashgrove,ALP,"Shop 2, 230 Waterworks Road, Ashgrove Qld 4060", Ph: 07 3554 9100,
Minister for Education and Minister for,,,Email: ashgrove@parliament.qld.gov.au,Fax: 07 3554 9109,
Tourism and Major Events,,,,,
,,,"Ministerial: Level 22, Education House, 30 Mary Street,", Ph: 07 3719 7530,
,,,Brisbane Qld 4000,,
,,,"(PO Box 15033, City East Qld 4002)",,
,,,Email: education@ministerial.qld.gov.au,,
,,,tourism@ministerial.qld.gov.au,,
,,,,,
KATTER Robert (Robbie) BAppSc,Mount Isa,KAP,Mount Isa Electorate Office:, Ph: 07 4730 1100,
CertPracValuer(CPV),,,"Mt Isa Trades & Labour Council Bldg, 74 Camooweal",Fax: 07 4730 1109,
,,,"Street, Mt Isa Qld 4825",     1800 818 824,
,,,"(PO Box 1968, Mount Isa Qld 4825)",(within elect. only),
,,,Email: mount.isa@parliament.qld.gov.au,,
,,,Cloncurry Office:, Ph: 07 4410 4100,
,,,"27 Ramsay Street, Cloncurry Qld 4824",Fax: 07 4410 4109,
,,,Email: mount.isa.cloncurry@parliament.qld.gov.au,     1800 801 569,
,,,,(within elect. only),
,,,,,
KELLY Joseph Patrick (Joe) RN ADipBus,Greenslopes,ALP,"Shop 3, Coorparoo Village Shopping Centre, 358 Old", Ph: 07 3414 2100,
GradCertHealthEcon,,,"Cleveland Road, Coorparoo Qld 4151",Fax: 07 3414 2109,
,,,"(PO Box 536, Coorparoo Qld 4151)",,
,,,Email: greenslopes@parliament.qld.gov.au,,
,,,,,
KING Shane Roderick,Kallangur,ALP,"Shop 1, Aldi Centre, 15 Goodfellows Road, Kallangur Qld", Ph: 07 3448 9100,
,,,4503,Fax: 07 3448 9109,
,,,"(PO Box 629, Kallangur Qld 4503)",,
,,,Email: kallangur@parliament.qld.gov.au,,
,,,,,
KNUTH Shane,Dalrymple,KAP,Atherton Electorate Office, Ph: 07 4235 7100,
,,,"Silo Shopping Centre, Silo Road, Atherton Qld 4883",Fax: 07 4235 7109,
,,,"(PO Box 1667, Atherton Qld 4883)",     1800 245 247,
,,,Email: dalrymple@parliament.qld.gov.au,(within elect. Only),
,,,Charters Towers Electorate Office:, Ph: 07 4409 0100,
,,,"Stock Exchange Arcade, 2/76 Mosman Street, Charters",Fax: 07 4409 0109,
,,,Towers Qld 4820,     1800 811 103,
,,,,(within elect. only),
,,,Email: dalrymple.charters@parliament.qld.gov.au,,
,,,,,
KRAUSE Jonathan Mark (Jon) BLaws(Hons),Beaudesert,LNP,"91 Brisbane Street, Beaudesert Qld 4285", Ph: 07 5515 1100,
LLB(Hons) BCom GradDipLegPrac,,,"(PO Box 656, Beaudesert Qld 4285)",Fax: 07 5515 1109,
,,,Email: beaudesert@parliament.qld.gov.au,     1800 813 960,
,,,,(within elect. only),
,,,,,
LANGBROEK John-Paul Honore,Surfers Paradise,LNP,"Suite 1, Level 1, Building 1, Capri on Via Roma, Isle of Capri", Ph: 07 5600 2100,
BDentalSc(Hons),,, Qld 4217,Fax: 07 5600 2109,
"Deputy Opposition Leader, Shadow",,,"(PO Box 80, Isle of Capri Qld 4217)",,
Treasurer and Shadow Minister for,,,Email: surfers.paradise@parliament.qld.gov.au,,
Commonwealth Games,,,,,
,,,,,
LAST Dale Raymond BA DipPol,Burdekin,LNP,"Shop 30, Centrepoint Arcade, Queen Street, Ayr Qld", Ph: 07 4767 0500,
,,,4807,Fax: 07 4767 0509,
,,,Email: burdekin@parliament.qld.gov.au,     1800 817 594,
,,,,(within elect. only),
,,,,,
LAUGA Brittany Louise [Mrs],Keppel,ALP,"Shop 3, Evia Building, 3 Normanby Street, Yeppoon Qld", Ph: 07 4913 1500,
BUrbDev(UrbRegPlan)(Hons) CDec,,,4703,Fax: 07 4913 1509,
,,,"(PO Box 1474, Yeppoon Qld 4703)",     1800 817 504,
,,,Email: keppel@parliament.qld.gov.au,(within elect. only),
,,,,,
LEAHY Ann Maree [Ms] BAppSc(Psy) JP(Qual),Warrego,LNP,Roma Electorate Office:, Ph: 07 4570 1100,
,,,"74 Wyndham Street (Cnr Wyndham and Bowen Streets),",Fax: 07 4570 1109,
,,,Roma Qld 4455,     1800 814 479,
,,,"(PO Box 945, Roma Qld 4455)",(within elect. only),
,,,Email: warrego@parliament.qld.gov.au,,
,,,St George Office:, Ph: 07 4519 0700,
,,,"19B Henry Street, St George Qld 4487",Fax: 07 4519 0709,
,,,"(PO Box 503, St George Qld 4487)",     1800 625 430,
,,,Email: warrego.st.george@parliament.qld.gov.au, (within elect only),
,,,,,
LINARD Leanne [Ms] BBus,Nudgee,ALP,"Cnr Toombul and Melton Roads, Northgate Qld 4013", Ph: 07 3638 7100,
,,,"(PO Box 379, Northgate Qld 4013)",Fax: 07 3638 7109,
,,,Email: nudgee@parliament.qld.gov.au,,
,,,,,
LYNHAM Honourable Anthony Joseph [Dr],Stafford,ALP,"Unit 207, 6 Babarra Street, Stafford Qld 4053", Ph: 07 3554 8100,
BDSc BMed(Hons) FRCS Ed,,,Email: stafford@parliament.qld.gov.au,Fax: 07 3554 8109,
Minister for State Development and,,,,,
Minister for Natural Resources and Mines,,,"Ministerial: Level 17, QMEC Building, 61 Mary Street,",,
,,,Brisbane Qld 4000,    Ph: 3719 7360,
,,,"(PO Box 15216, City East Qld 4002)",,
,,,Email: sdnrm@ministerial.qld.gov.au,,
,,,,,
"MADDEN James Edward (Jim, LLB Cdec",Ipswich West,ALP,"Shop 1, Brassall Shopping Centre, 68 Hunter Street,", Ph: 07 3447 3100,
BAppSc(Hort) GradDipAgri,,,Brassall QLD 4305,Fax: 07 3447 3109,
,,,Email: ipswich.west@parliament.qld.gov.au,      1800 814 856,
,,,,(within elect. Only),
,,,,,
MANDER Timothy Leonard (Tim) BMin,Everton,LNP,"1st Floor, 510-520 South Pine Road, Everton Park Q 4053",  Ph: 07 3535 1100,
Shadow Minister for Education and,,,"(PO Box 656, Everton Park Qld 4053)", Fax: 07 3535 1109,
Training,,,Email: everton@parliament.qld.gov.au,,
,,,,,
McARDLE Mark Francis LLB GradDipLegPrac,Caloundra,LNP,"Shop 1, Pia Place, 118 Bulcock Street, Caloundra Qld 4551", Ph: 07 5329 4100,
Shadow Minister for Health,,,"(PO Box 655, Caloundra Qld 4551)",Fax: 07 5329 4109,
,,,Email: caloundra@parliament.qld.gov.au,,
,,,,,
McEACHAN Matthew John (Matt),Redlands,LNP,"Tenancy H20, Victoria Point Lakeside, 11-27 Bunker Road,", Ph: 07 3446 0100,
,,,Victoria Point Qld 4165,Fax: 07 3446 0109,
,,,"(PO Box 3788, Victoria Point West Qld 4165)",,
,,,Email: redlands@parliament.qld.gov.au,,
,,,,,
McVEIGH John Joseph [Dr] BBus DipExp MBA,Toowoomba,LNP,"Suite 2, Commercial Union Arcade, 566 Ruthven Street,", Ph: 07 4602 3100,
PhD,South,,Toowoomba Qld 4350,Fax: 07 4602 3109,
"Shadow Minister for Science, Information",,,"(PO Box 3005, Toowoomba Qld 4350)",,
Technology and Innovation,,,Email: toowoomba.south@parliament.qld.gov.au,,
,,,,,
MILES Honourable Steven John [Dr] BA PhD,Mount Coot-tha,ALP,"Tenancy G-3, 524 Milton Road, Toowong Qld 4066", Ph: 07 3703 2100,
Minister for Environment and Heritage,,,"(PO Box 1549, Milton Qld 4064)",Fax: 07 3703 2109,
Protection and Minister for National Parks,,,Email: mount.coot-tha@parliament.qld.gov.au,,
and the Great Barrier Reef,,,, Ph: 07 3719 7330,
,,,"Ministerial: Level 13, 400 George Street, Brisbane Qld",,
,,,4000,,
,,,"(GPO Box 2454, Brisbane Qld 4001)",,
,,,Email: environment@ministerial.qld.gov.au,,
,,,,,
MILLAR Lachlan Lucas,Gregory,LNP,"Longreach Electorate Office: Shop 2, Studio Exclusive", Ph: 07 4521 5700,
,,,"Arcade, 120A Eagle Street, Longreach Qld 4730",Fax: 07 4521 5709,
,,,"(PO Box 180, Longreach Qld 4730)",     1800 818 754,
,,,Email: gregory@parliament.qld.gov.au,(within elect. only),
,,,Emerald Office:, Ph: 07 4913 1000,
,,,"93 Clermont Street, Emerald Qld 4720",Fax: 07 4913 1009,
,,,Email: gregory@parliament.qld.gov.au,     1800 634 831,
,,,,(within elect. Only),
,,,,,
MILLER Jo-Ann Roslyn [Mrs] BBus(PubAdmin),Bundamba,ALP,"Shop 39, St Ives Shopping Centre, 2 Smiths Road, Goodna", Ph: 07 3447 9100,
,,,Qld 4300,Fax: 07 3447 9109,
,,,"(PO Box 122, Goodna Qld 4300)",,
,,,Email: bundamba@parliament.qld.gov.au,,
,,,,,
MINNIKIN Steven James (Steve) BBus(UQ),Chatsworth,LNP,"Unit 1, Millennium Business Centre, Millennium Bvd,", Ph: 07 3914 9100,
GradCertPropEc(QUT) GradDipPropEc(QUT),,,Carindale Qld 4152,Fax: 07 3914 9109,
MPropEc(QUT) C.Dec,,,"(PO Box 1565, Carindale Qld 4152)",,
,,,Email: chatsworth@parliament.qld.gov.au,,
,,,,,
MOLHOEK Robert (Rob),Southport,LNP,"Shop 2, 24 Musgrave Avenue, Chirn Park Qld 4215", Ph: 07 5600 1100,
Shadow Minister for Housing and Public,,,"(PO Box 903, Southport Qld 4215)",Fax: 07 5600 1109,
Works,,,Email: southport@parliament.qld.gov.au,,
,,,,,
NICHOLLS Timothy James (Tim) LLB,Clayfield,LNP,"Shop 1, 729 Sandgate Road, Clayfield Qld 4011", Ph: 07 3638 9100,
"Shadow Minister for Infrastructure,",,,"(PO Box 281, Clayfield Qld 4011)",Fax: 07 3638 9109,
"Planning, Small Business, Employment and",,,Email: clayfield@parliament.qld.gov.au,,
Trade,,,,,
,,,,,
O’ROURKE Honourable Coralee Jane [Mrs],Mundingburra,ALP,"Shop 3, 198 Nathan Street, Aitkenvale Qld 4814", Ph: 07 4766 8100,
BEd,,,"(PO Box 1409, Aitkenvale Qld 4814)",Fax: 07 4766 8109,
"Minister for Disability Services, Minister for",,,Email: mundingburra@parliament.qld.gov.au,,
Seniors and Minister Assisting the Premier,,,,,
on North Queensland,,,"Ministerial: Level 6b, Neville Bonner Building, 75 William", Ph: 07 3719 7170,
,,,"Street, Brisbane Qld 4000",,
,,,"(PO Box 15397, City East Qld 4002)",,
,,,Email: disabilityandseniors@ministerial.qld.gov.au,,
,,,northqueensland@ministerial.qld.gov.au,,
,,,,,
PALASZCZUK Honourable Annastacia [Ms],Inala,ALP,"Shop 101 Business Centre, Richlands Plaza, Cnr Archerfield", Ph: 07 3737 2100,
BA LLB MA(Hons) Lond Chevening Scholar,,,"and Old Progress Roads, Richlands Qld 4077",Fax: 07 3737 2109,
Premier and Minister for the Arts,,,"(PO Box 75, Inala Qld 4077)",,
,,,Email: inala@parliament.qld.gov.au,,
,,,"Ministerial: Level 15, Executive Building, 100 George",   Ph: 3719 7000,
,,,"Street, Brisbane Qld 4000",,
,,,"(PO Box 15185, City East Qld 4002)",,
,,,Email: thepremier@premiers.qld.gov.au,,
,,,,,
PEARCE James (Jim),Mirani,ALP,"The Sarina Centre, Central Street, Sarina Qld 4737", Ph: 07 4806 0700,
,,,Email: mirani@parliament.qld.gov.au,Fax: 07 4806 0709,
,,,,     1800 812 340,
,,,,(within elect. on,ly)
,,,,,
PEASE Joan Ellen [Ms] B FET Com Dec,Lytton,ALP,"100 Edith Street, Wynnum Qld 4178", Ph: 07 3915 1100,
,,,"(PO Box 719, Wynnum Qld 4178)",Fax: 07 3915 1109,
,,,Email: lytton@parliament.qld.gov.au,,
,,,,,
PEGG Duncan Andrew BCom LLB(Hons) LLM,Stretton,ALP,"Unit 5, 62 Pinelands Road, Sunnybank Hills Qld 4109", Ph: 07 3414 3110,
,,,Email: stretton@parliament.qld.gov.au,Fax: 07 3414 3119,
,,,,,
PERRETT Anthony John (Tony),Gympie,LNP,"58 Channon Street, Gympie Qld 4570", Ph: 07 5329 5100,
,,,"(PO Box 1144, Gympie Qld 4570)",Fax: 07 5329 5109,
,,,Email: gympie@parliament.qld.gov.au,     1800 812 919,
,,,,(within elect. only),
,,,,,
PITT Honourable Curtis Warren BA,Mulgrave,ALP,"94-96 Norman Street, Gordonvale Qld 4865", Ph: 07 4237 1100,
"Treasurer, Minister for Aboriginal and",,,"(PO Box 314, Gordonvale Qld 4865)",Fax: 07 4237 1109,
Torres Strait Islander Partnerships and,,,Email: mulgrave@parliament.qld.gov.au,     1800 815 743,
Minister for Sport,,,,(within elect. only),
,,,"Ministerial: Level 9, Executive Building, 100 George",,
,,,"Street, Brisbane Qld 4000",,
,,,"(GPO Box 611, Brisbane Qld 4001)", Ph: 07 3719 7200,
,,,Email: treasurer@ministerial.qld.gov.au,,
,,,,,
POWELL Andrew Carey BSc BA,Glass House,LNP,"Suite 4, 70 Maple Street, Maleny Qld 4552", Ph: 07 5318 8100,
Shadow Minister for Energy and Water,,,"(PO Box 727, Maleny Qld 4552)",Fax: 07 5318 8109,
Supply,,,Email: glass.house@parliament.qld.gov.au,     1800 555 016,
,,,,(within elect only),
,,,,,
